course,lec,topic
COMP6741,1,Monty_Python
COMP6741,1,FAQ
COMP6741,1,Programming_language
COMP6741,1,Computer
COMP6741,1,Anaconda
COMP6741,1,Integrated_development_environment
COMP6741,1,Viral_envelope
COMP6741,1,Pythonidae
COMP6741,1,String_instrument
COMP6741,1,Askold
COMP6741,1,Troubleshooting
COMP6741,1,Origin_of_replication
COMP6741,1,Java_virtual_machine
COMP6741,1,Midge_Ure
COMP6741,1,Interpreted_language
COMP6741,1,Unix
COMP6741,1,GNU_Compiler_Collection
COMP6741,1,Clang
COMP6741,1,Floating-point_arithmetic
COMP6741,1,Boolean_algebra
COMP6741,1,False_Film_Festival
COMP6741,1,Intelligence
COMP6741,1,String_theory
COMP6741,1,Data_type
COMP6741,1,Associative_array
COMP6741,1,Init
COMP6741,1,Modular_arithmetic
COMP6741,1,Taiwan_Railways_Administration
COMP6741,1,Substring
COMP6741,1,Apple_Inc.
COMP6741,1,Pear
COMP6741,1,Banana
COMP6741,1,Concatenation
COMP6741,1,Grapefruit
COMP6741,1,Pineapple
COMP6741,1,ITER
COMP6741,1,Pop_music
COMP6741,1,Tuple
COMP6741,1,Circle
COMP6741,1,Triangle
COMP6741,1,Polygon
COMP6741,1,Rhombus
COMP6741,1,Hash_table
COMP6741,1,John_Forbes_Nash_Jr.
COMP6741,1,Pound_sterling
COMP6741,1,File_system
COMP6741,1,National_University_of_Medical_Sciences
COMP6741,1,Pain
COMP6741,1,Text_editor
COMP6741,1,Lock_and_key
COMP6741,1,Berkeley_Bowl
COMP6741,1,Stanford_University
COMP6741,1,Tidbits
COMP6741,1,Log_file
COMP6741,1,Safari
COMP6741,1,Concordia_University
COMP6741,1,Library
COMP6741,2,Teaching_assistant
COMP6741,2,Linux
COMP6741,2,Microsoft_Windows
COMP6741,2,Monty_Python
COMP6741,2,Chatbot
COMP6741,2,Intelligent_agent
COMP6741,2,GitHub
COMP6741,2,Concordia_University
COMP6741,2,Pythonidae
COMP6741,2,Toyota_Corona
COMP6741,3,Programming_language
COMP6741,3,Pythonidae
COMP6741,3,Resource_Description_Framework
COMP6741,3,Graph_database
COMP6741,3,Parsing
COMP6741,3,Eredivisie
COMP6741,3,JSON
COMP6741,3,XML
COMP6741,3,RDF_Schema
COMP6741,3,Open-source_software
COMP6741,3,Java_virtual_machine
COMP6741,3,Apache_HTTP_Server
COMP6741,3,Apache_Jena
COMP6741,3,Run_command
COMP6741,3,SQL
COMP6741,3,FOAF_(ontology)
COMP6741,3,Applied_Digital_Data_Systems
COMP6741,3,Pattern_matching
COMP6741,3,Uniform_Resource_Identifier
COMP6741,3,SPARQL
COMP6741,3,Query_language
COMP6741,3,Concordia_University
COMP6741,3,DBpedia
COMP6741,3,Subtraction
COMP6741,3,Bitwise_operation
COMP6741,3,ING_Group
COMP6741,3,City
COMP6741,4,FOAF_(ontology)
COMP6741,4,Knowledge_Graph
COMP6741,4,Web_Ontology_Language
COMP6741,4,Ontology
COMP6741,4,RDF_Schema
COMP6741,4,Electronic_warfare
COMP6741,4,Friends
COMP6741,4,Main_Page
COMP6741,4,Data_model
COMP6741,4,Resource_Description_Framework
COMP6741,4,Collectible_card_game
COMP6741,4,DBpedia
COMP6741,4,Intelligent_agent
COMP6741,4,Graph_database
COMP6741,4,City
COMP6741,4,Montreal
COMP6741,4,Canada
COMP6741,5,This_Week_(American_TV_program)
COMP6741,5,SPARQL
COMP6741,5,Query_language
COMP6741,5,Database_schema
COMP6741,5,Moodle
COMP6741,5,DBpedia
COMP6741,5,Computer_data_storage
COMP6741,5,Graph_database
COMP6741,5,Bar
COMP6741,5,Berlin
COMP6741,5,RDF_Schema
COMP6741,5,Association_football
COMP6741,5,Siri
COMP6741,5,Amazon_Alexa
COMP6741,5,Canada
COMP6741,5,City
COMP6741,5,Main_Page
COMP6741,5,English_language
COMP6741,5,Alma_Mahler
COMP6741,5,SQL
COMP6741,5,Apache_HTTP_Server
COMP6741,5,Fuseki
COMP6741,5,Web_server
COMP6741,5,Binary_distribution
COMP6741,5,Executable
COMP6741,5,Jaguar_XF
COMP6741,5,Apache_Jena
COMP6741,5,Chmod
COMP6741,5,Java_Development_Kit
COMP6741,5,FOAF_(ontology)
COMP6741,5,Go_(game)
COMP6741,5,Monty_Python
COMP6741,5,Smart_device
COMP6741,6,This_Week_(American_TV_program)
COMP6741,6,Vector_space
COMP6741,6,Monty_Python
COMP6741,6,Machine_learning
COMP6741,6,Wikidata
COMP6741,6,European_Union
COMP6741,6,English_language
COMP6741,6,West_Digital_Television
COMP6741,6,Trigonometric_functions
COMP6741,6,NumPy
COMP6741,6,Noun_phrase
COMP6741,6,Cosine_similarity
COMP6741,6,Definiteness_of_a_matrix
COMP6741,6,MovieLens
COMP6741,6,Apache_Spark
COMP6741,6,Workable_FC
COMP6741,6,Lego
COMP6741,6,Intelligent_agent
COMP6741,7,Library
COMP6741,7,Monty_Python
COMP6741,7,Israel_Defense_Forces
COMP6741,7,Machine_learning
COMP6741,7,Moodle
COMP6741,7,Trigonometric_functions
COMP6741,7,Instituto_Nacional_Electoral
COMP6741,7,NumPy
COMP6741,7,Noun_phrase
COMP6741,7,MovieLens
COMP6741,7,Similarity_measure
COMP6741,7,Natural_language_processing
COMP6741,7,Sun_Bright
COMP6741,7,Definiteness_of_a_matrix
COMP6741,7,Web_search_engine
COMP6741,7,Dog
COMP6741,7,Feature_extraction
COMP6741,7,Google
COMP6741,7,Usenet
COMP6741,7,Usenet_newsgroup
COMP6741,7,Processor_Direct_Slot
COMP6741,7,Apple_Inc.
COMP6741,7,NuBus
COMP6741,7,Computer
COMP6741,7,Tfâ€“idf
COMP6741,7,Array_data_structure
COMP6741,7,Alt.atheism
COMP6741,7,Apache_Lucene
COMP6741,7,Web_server
COMP6741,7,Elasticsearch
COMP6741,7,Apache_Solr
COMP6741,7,Binary_file
